2026-05-04T22:48:44+10:00 | INFO     | src.cli.main:eval_:60 | run dir: /Users/zariftutero/Coding/personal/zarifaziz/runs/2026-05-04T12-48-44Z
2026-05-04T22:48:44+10:00 | INFO     | src.services.evaluator:run:95 | sample seed: 1002385739
2026-05-04T22:48:44+10:00 | INFO     | src.services.evaluator:run:106 | evaluating 421 record(s) (1490 turns total) on split='dev' concurrency=5
2026-05-04T22:48:51+10:00 | INFO     | src.services.evaluator:_flush:128 | [1/421] Single_IPG/2009/page_85.pdf-3 turns=2 correct=2/2
2026-05-04T22:48:56+10:00 | INFO     | src.services.evaluator:_flush:128 | [2/421] Double_HII/2017/page_104.pdf turns=4 correct=4/4
2026-05-04T22:48:56+10:00 | INFO     | src.services.evaluator:_flush:128 | [3/421] Single_MRO/2007/page_134.pdf-1 turns=5 correct=5/5
2026-05-04T22:48:57+10:00 | INFO     | src.services.evaluator:_flush:128 | [4/421] Double_MRO/2015/page_18.pdf turns=2 correct=2/2
2026-05-04T22:48:57+10:00 | INFO     | src.services.evaluator:_flush:128 | [5/421] Single_UNP/2008/page_77.pdf-2 turns=5 correct=5/5
2026-05-04T22:48:58+10:00 | INFO     | src.services.evaluator:_flush:128 | [6/421] Double_RSG/2016/page_144.pdf turns=4 correct=1/4
2026-05-04T22:49:02+10:00 | INFO     | src.services.evaluator:_flush:128 | [7/421] Single_DVN/2007/page_58.pdf-3 turns=2 correct=2/2
2026-05-04T22:49:04+10:00 | INFO     | src.services.evaluator:_flush:128 | [8/421] Single_BLK/2014/page_119.pdf-1 turns=2 correct=2/2
2026-05-04T22:49:05+10:00 | INFO     | src.services.evaluator:_flush:128 | [9/421] Single_CDNS/2018/page_31.pdf-1 turns=3 correct=3/3
2026-05-04T22:49:08+10:00 | INFO     | src.services.evaluator:_flush:128 | [10/421] Single_AON/2009/page_46.pdf-3 turns=4 correct=4/4
2026-05-04T22:49:09+10:00 | INFO     | src.services.evaluator:_flush:128 | [11/421] Single_UNP/2014/page_35.pdf-3 turns=5 correct=5/5
2026-05-04T22:49:13+10:00 | INFO     | src.services.evaluator:_flush:128 | [12/421] Single_MO/2012/page_44.pdf-4 turns=3 correct=3/3
2026-05-04T22:49:14+10:00 | INFO     | src.services.evaluator:_flush:128 | [13/421] Single_ETR/2008/page_355.pdf-4 turns=4 correct=4/4
2026-05-04T22:49:18+10:00 | INFO     | src.services.evaluator:_flush:128 | [14/421] Single_UNP/2011/page_76.pdf-1 turns=3 correct=2/3
2026-05-04T22:49:25+10:00 | INFO     | src.services.evaluator:_flush:128 | [15/421] Double_PM/2015/page_127.pdf turns=6 correct=6/6
2026-05-04T22:49:28+10:00 | INFO     | src.services.evaluator:_flush:128 | [16/421] Single_BLK/2014/page_119.pdf-4 turns=5 correct=4/5
2026-05-04T22:49:30+10:00 | INFO     | src.services.evaluator:_flush:128 | [17/421] Single_ETR/2003/page_84.pdf-2 turns=4 correct=4/4
2026-05-04T22:49:32+10:00 | INFO     | src.services.evaluator:_flush:128 | [18/421] Double_PM/2017/page_38.pdf turns=7 correct=7/7
2026-05-04T22:49:33+10:00 | INFO     | src.services.evaluator:_flush:128 | [19/421] Double_STT/2008/page_83.pdf turns=6 correct=2/6
2026-05-04T22:49:34+10:00 | INFO     | src.services.evaluator:_flush:128 | [20/421] Single_ETR/2004/page_213.pdf-4 turns=2 correct=2/2
2026-05-04T22:49:40+10:00 | INFO     | src.services.evaluator:_flush:128 | [21/421] Single_CB/2010/page_88.pdf-1 turns=5 correct=5/5
2026-05-04T22:49:43+10:00 | INFO     | src.services.evaluator:_flush:128 | [22/421] Single_ETR/2013/page_118.pdf-4 turns=4 correct=4/4
2026-05-04T22:49:45+10:00 | INFO     | src.services.evaluator:_flush:128 | [23/421] Double_BLK/2014/page_119.pdf turns=4 correct=4/4
2026-05-04T22:49:51+10:00 | INFO     | src.services.evaluator:_flush:128 | [24/421] Double_C/2008/page_102.pdf turns=6 correct=6/6
2026-05-04T22:49:51+10:00 | INFO     | src.services.evaluator:_flush:128 | [25/421] Single_BLL/2007/page_47.pdf-1 turns=5 correct=2/5
2026-05-04T22:49:53+10:00 | INFO     | src.services.evaluator:_flush:128 | [26/421] Double_AMAT/2013/page_18.pdf turns=4 correct=2/4
2026-05-04T22:49:55+10:00 | INFO     | src.services.evaluator:_flush:128 | [27/421] Single_ETR/2017/page_26.pdf-4 turns=4 correct=4/4
2026-05-04T22:49:57+10:00 | INFO     | src.services.evaluator:_flush:128 | [28/421] Single_DISH/2013/page_138.pdf-3 turns=4 correct=1/4
2026-05-04T22:49:58+10:00 | INFO     | src.services.evaluator:_flush:128 | [29/421] Single_AMT/2004/page_81.pdf-2 turns=2 correct=2/2
2026-05-04T22:49:59+10:00 | INFO     | src.services.evaluator:_flush:128 | [30/421] Single_C/2017/page_328.pdf-1 turns=2 correct=2/2
2026-05-04T22:50:05+10:00 | INFO     | src.services.evaluator:_flush:128 | [31/421] Single_CDNS/2012/page_30.pdf-1 turns=2 correct=2/2
2026-05-04T22:50:06+10:00 | INFO     | src.services.evaluator:_flush:128 | [32/421] Single_ADBE/2018/page_86.pdf-1 turns=4 correct=4/4
2026-05-04T22:50:08+10:00 | INFO     | src.services.evaluator:_flush:128 | [33/421] Single_IPG/2008/page_62.pdf-1 turns=5 correct=0/5
2026-05-04T22:50:11+10:00 | INFO     | src.services.evaluator:_flush:128 | [34/421] Single_IPG/2008/page_93.pdf-3 turns=5 correct=2/5
2026-05-04T22:50:12+10:00 | INFO     | src.services.evaluator:_flush:128 | [35/421] Double_ETFC/2013/page_26.pdf turns=2 correct=2/2
2026-05-04T22:50:13+10:00 | INFO     | src.services.evaluator:_flush:128 | [36/421] Double_SLB/2012/page_44.pdf turns=5 correct=5/5
2026-05-04T22:50:14+10:00 | INFO     | src.services.evaluator:_flush:128 | [37/421] Single_PM/2015/page_85.pdf-1 turns=3 correct=3/3
2026-05-04T22:50:19+10:00 | INFO     | src.services.evaluator:_flush:128 | [38/421] Double_INTC/2013/page_33.pdf turns=3 correct=3/3
2026-05-04T22:50:22+10:00 | INFO     | src.services.evaluator:_flush:128 | [39/421] Single_DVN/2014/page_85.pdf-1 turns=3 correct=3/3
2026-05-04T22:50:22+10:00 | INFO     | src.services.evaluator:_flush:128 | [40/421] Single_LMT/2010/page_42.pdf-3 turns=3 correct=3/3
2026-05-04T22:50:24+10:00 | INFO     | src.services.evaluator:_flush:128 | [41/421] Single_PM/2017/page_38.pdf-4 turns=5 correct=5/5
2026-05-04T22:50:25+10:00 | INFO     | src.services.evaluator:_flush:128 | [42/421] Single_ALXN/2007/page_104.pdf-2 turns=4 correct=4/4
2026-05-04T22:50:27+10:00 | INFO     | src.services.evaluator:_flush:128 | [43/421] Single_ETFC/2014/page_26.pdf-2 turns=3 correct=3/3
2026-05-04T22:50:29+10:00 | INFO     | src.services.evaluator:_flush:128 | [44/421] Single_RE/2015/page_33.pdf-2 turns=2 correct=2/2
2026-05-04T22:50:30+10:00 | INFO     | src.services.evaluator:_flush:128 | [45/421] Single_BLL/2007/page_35.pdf-3 turns=2 correct=0/2
2026-05-04T22:50:31+10:00 | INFO     | src.services.evaluator:_flush:128 | [46/421] Double_VLO/2018/page_25.pdf turns=2 correct=1/2
2026-05-04T22:50:33+10:00 | INFO     | src.services.evaluator:_flush:128 | [47/421] Single_RE/2017/page_159.pdf-4 turns=2 correct=2/2
2026-05-04T22:50:34+10:00 | INFO     | src.services.evaluator:_flush:128 | [48/421] Single_AMT/2010/page_34.pdf-1 turns=4 correct=1/4
2026-05-04T22:50:40+10:00 | INFO     | src.services.evaluator:_flush:128 | [49/421] Single_GS/2017/page_143.pdf-2 turns=2 correct=2/2
2026-05-04T22:50:40+10:00 | INFO     | src.services.evaluator:_flush:128 | [50/421] Single_L/2015/page_59.pdf-4 turns=2 correct=2/2
2026-05-04T22:50:41+10:00 | INFO     | src.services.evaluator:_flush:128 | [51/421] Single_JPM/2007/page_33.pdf-2 turns=4 correct=4/4
2026-05-04T22:50:42+10:00 | INFO     | src.services.evaluator:_flush:128 | [52/421] Double_RSG/2015/page_142.pdf turns=3 correct=3/3
2026-05-04T22:50:43+10:00 | INFO     | src.services.evaluator:_flush:128 | [53/421] Single_LLY/2018/page_63.pdf-2 turns=5 correct=5/5
2026-05-04T22:50:46+10:00 | INFO     | src.services.evaluator:_flush:128 | [54/421] Double_APD/2013/page_36.pdf turns=2 correct=2/2
2026-05-04T22:50:50+10:00 | INFO     | src.services.evaluator:_flush:128 | [55/421] Single_PM/2018/page_24.pdf-3 turns=2 correct=2/2
2026-05-04T22:50:51+10:00 | INFO     | src.services.evaluator:_flush:128 | [56/421] Double_ETR/2017/page_26.pdf turns=3 correct=1/3
2026-05-04T22:50:52+10:00 | INFO     | src.services.evaluator:_flush:128 | [57/421] Double_ETR/2017/page_114.pdf turns=4 correct=0/4
2026-05-04T22:50:52+10:00 | INFO     | src.services.evaluator:_flush:128 | [58/421] Single_APD/2014/page_44.pdf-2 turns=4 correct=4/4
2026-05-04T22:51:00+10:00 | INFO     | src.services.evaluator:_flush:128 | [59/421] Double_ETR/2003/page_84.pdf turns=4 correct=3/4
2026-05-04T22:51:00+10:00 | INFO     | src.services.evaluator:_flush:128 | [60/421] Double_HOLX/2007/page_129.pdf turns=3 correct=1/3
2026-05-04T22:51:04+10:00 | INFO     | src.services.evaluator:_flush:128 | [61/421] Single_MAS/2018/page_35.pdf-3 turns=4 correct=4/4
2026-05-04T22:51:05+10:00 | INFO     | src.services.evaluator:_flush:128 | [62/421] Single_CME/2017/page_97.pdf-4 turns=2 correct=2/2
2026-05-04T22:51:09+10:00 | INFO     | src.services.evaluator:_flush:128 | [63/421] Double_ZBH/2003/page_40.pdf turns=4 correct=4/4
2026-05-04T22:51:09+10:00 | INFO     | src.services.evaluator:_flush:128 | [64/421] Single_AMT/2012/page_125.pdf-1 turns=3 correct=0/3
2026-05-04T22:51:09+10:00 | INFO     | src.services.evaluator:_flush:128 | [65/421] Single_TSCO/2017/page_31.pdf-2 turns=5 correct=4/5
2026-05-04T22:51:13+10:00 | INFO     | src.services.evaluator:_flush:128 | [66/421] Double_HOLX/2008/page_84.pdf turns=2 correct=2/2
2026-05-04T22:51:15+10:00 | INFO     | src.services.evaluator:_flush:128 | [67/421] Double_GS/2012/page_165.pdf turns=2 correct=2/2
2026-05-04T22:51:16+10:00 | INFO     | src.services.evaluator:_flush:128 | [68/421] Double_ABMD/2009/page_88.pdf turns=3 correct=1/3
2026-05-04T22:51:20+10:00 | INFO     | src.services.evaluator:_flush:128 | [69/421] Single_RE/2015/page_33.pdf-4 turns=2 correct=2/2
2026-05-04T22:51:23+10:00 | INFO     | src.services.evaluator:_flush:128 | [70/421] Double_AMT/2012/page_125.pdf turns=5 correct=5/5
2026-05-04T22:51:24+10:00 | INFO     | src.services.evaluator:_flush:128 | [71/421] Double_ETR/2011/page_341.pdf turns=4 correct=1/4
2026-05-04T22:51:24+10:00 | INFO     | src.services.evaluator:_flush:128 | [72/421] Single_ETR/2017/page_316.pdf-1 turns=2 correct=2/2
2026-05-04T22:51:28+10:00 | INFO     | src.services.evaluator:_flush:128 | [73/421] Single_FBHS/2017/page_23.pdf-2 turns=5 correct=5/5
2026-05-04T22:51:34+10:00 | INFO     | src.services.evaluator:_flush:128 | [74/421] Double_PNC/2013/page_207.pdf turns=2 correct=1/2
2026-05-04T22:51:35+10:00 | INFO     | src.services.evaluator:_flush:128 | [75/421] Single_GS/2012/page_165.pdf-3 turns=2 correct=0/2
2026-05-04T22:51:40+10:00 | INFO     | src.services.evaluator:_flush:128 | [76/421] Double_CDNS/2012/page_30.pdf turns=5 correct=5/5
2026-05-04T22:51:40+10:00 | INFO     | src.services.evaluator:_flush:128 | [77/421] Single_UPS/2006/page_32.pdf-3 turns=5 correct=5/5
2026-05-04T22:51:44+10:00 | INFO     | src.services.evaluator:_flush:128 | [78/421] Double_DRE/2013/page_39.pdf turns=2 correct=2/2
2026-05-04T22:51:45+10:00 | INFO     | src.services.evaluator:_flush:128 | [79/421] Single_ETR/2003/page_84.pdf-1 turns=2 correct=2/2
2026-05-04T22:51:47+10:00 | INFO     | src.services.evaluator:_flush:128 | [80/421] Single_IPG/2008/page_93.pdf-2 turns=2 correct=2/2
2026-05-04T22:51:48+10:00 | INFO     | src.services.evaluator:_flush:128 | [81/421] Single_ETR/2016/page_418.pdf-4 turns=5 correct=5/5
2026-05-04T22:51:56+10:00 | INFO     | src.services.evaluator:_flush:128 | [82/421] Single_RSG/2017/page_142.pdf-1 turns=2 correct=2/2
2026-05-04T22:51:56+10:00 | INFO     | src.services.evaluator:_flush:128 | [83/421] Single_UNP/2014/page_35.pdf-2 turns=3 correct=3/3
2026-05-04T22:51:57+10:00 | INFO     | src.services.evaluator:_flush:128 | [84/421] Single_AES/2003/page_52.pdf-2 turns=4 correct=2/4
2026-05-04T22:51:58+10:00 | INFO     | src.services.evaluator:_flush:128 | [85/421] Single_ADBE/2018/page_86.pdf-3 turns=5 correct=5/5
2026-05-04T22:51:58+10:00 | INFO     | src.services.evaluator:_flush:128 | [86/421] Single_PM/2015/page_38.pdf-1 turns=4 correct=4/4
2026-05-04T22:52:02+10:00 | INFO     | src.services.evaluator:_flush:128 | [87/421] Single_BLL/2007/page_35.pdf-1 turns=2 correct=2/2
2026-05-04T22:52:05+10:00 | INFO     | src.services.evaluator:_flush:128 | [88/421] Single_PM/2014/page_67.pdf-1 turns=2 correct=2/2
2026-05-04T22:52:06+10:00 | INFO     | src.services.evaluator:_flush:128 | [89/421] Double_C/2010/page_223.pdf turns=3 correct=2/3
2026-05-04T22:52:10+10:00 | INFO     | src.services.evaluator:_flush:128 | [90/421] Double_RSG/2009/page_100.pdf turns=4 correct=2/4
2026-05-04T22:52:11+10:00 | INFO     | src.services.evaluator:_flush:128 | [91/421] Double_CB/2010/page_200.pdf turns=5 correct=5/5
2026-05-04T22:52:13+10:00 | INFO     | src.services.evaluator:_flush:128 | [92/421] Single_LMT/2010/page_42.pdf-1 turns=4 correct=4/4
2026-05-04T22:52:14+10:00 | INFO     | src.services.evaluator:_flush:128 | [93/421] Single_ETR/2011/page_376.pdf-2 turns=3 correct=3/3
2026-05-04T22:52:16+10:00 | INFO     | src.services.evaluator:_flush:128 | [94/421] Single_MRO/2009/page_139.pdf-1 turns=4 correct=4/4
2026-05-04T22:52:19+10:00 | INFO     | src.services.evaluator:_flush:128 | [95/421] Double_UNP/2006/page_37.pdf turns=3 correct=1/3
2026-05-04T22:52:20+10:00 | INFO     | src.services.evaluator:_flush:128 | [96/421] Single_TFX/2015/page_70.pdf-1 turns=2 correct=2/2
2026-05-04T22:52:21+10:00 | INFO     | src.services.evaluator:_flush:128 | [97/421] Single_LMT/2017/page_80.pdf-1 turns=4 correct=4/4
2026-05-04T22:52:24+10:00 | INFO     | src.services.evaluator:_flush:128 | [98/421] Single_DVN/2007/page_58.pdf-2 turns=2 correct=2/2
